topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,29.0,4.08528439707e-06
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0
4.0,10.0,4.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
4.0,1.0,2.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0
4.0,1.0,2.0,1000000.0,1.0,0.0,1000.0,1000.0,1024.0,10000.0,5.0,29.0,8.17056879415e-06
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0
4.0,10.0,4.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0
4.0,1.0,4.0,1000000.0,1.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.000783012842772
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
4.0,10.0,4.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
2.0,10.0,4.0,1000000.0,1.0,0.0,1000.0,10.0,512.0,100.0,2.0,0.0,2.72352293138e-06
4.0,10.0,4.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0
4.0,1.0,2.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
4.0,1.0,2.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
4.0,1.0,2.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
4.0,10.0,4.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0
